name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
Matt Boldy,LW,MIN,20.0,557.4369789125359,76,42,43,30,254,55,60,58,99.3380995040129,94.0522307923996,98.72917374527862,98.7244104680517,55.40955118967774,46.94506866216675,64.23844455094856
Mark Scheifele,C,WPG,21.0,555.2376219464609,82,36,67,22,175,594,32,47,98.19163984579961,99.37306453897793,93.56406329805543,88.2805320617446,97.54367847395308,24.79756372337017,53.48708000456006
John Tavares,C,TOR,22.0,553.1238915055989,82,31,40,21,192,802,74,24,96.2295905104319,91.8330586640174,92.45660918818623,92.19381032630407,99.79264495855836,56.362044859713954,24.256132998386995
Steven Stamkos,C,NSH,23.0,552.1796978015635,82,42,24,26,206,323,89,36,99.3380995040129,67.28723918606975,96.8067207004496,94.62532053967846,87.47343403527921,66.09078370754837,40.55810012852527
Joel Eriksson Ek,C,MIN,24.0,551.040733823957,70,19,32,16,194,681,106,34,79.2016770962513,82.47210995878356,85.05724001851257,92.57498044427689,98.91851908443249,74.70072877749291,38.115478444207255
Sebastian Aho,F,CAR,25.0,550.2161262743897,79,27,53,27,195,596,63,23,92.91477691565069,97.96599726405985,97.30706896600822,92.8491701751174,97.620340039457,48.760346523927,22.798426390169546
Auston Matthews,C,TOR,26.0,548.0835986067433,60,27,26,12,227,580,42,81,92.91477691565069,71.77080075114107,75.75959066531678,97.51028608902115,97.38606585900754,32.84184152058636,79.90023680601978
Dylan Larkin,C,DET,27.0,546.994689447939,74,34,33,24,228,789,46,33,97.67022590304173,84.01841374023245,95.57408086065158,97.61755147136498,99.72271488862827,35.73385787502957,36.65784470899037
Sidney Crosby,C,PIT,28.0,546.6966205438674,68,29,45,23,160,773,60,30,94.73486390810493,95.30709870987829,94.54090702760493,83.12410925174191,99.58285474876814,46.94506866216675,32.46171823560251
Brady Tkachuk,LW,OTT,29.0,545.9376916082671,60,22,37,20,221,175,162,19,85.65331399337745,88.87490223173211,91.1714957573443,96.62863153816103,72.58890259774509,93.13283865170183,17.887606838205176
Nick Schmaltz,C,UTA,30.0,545.5262737329667,82,33,41,20,207,448,23,52,97.22140953254177,92.70990957447268,91.1714957573443,94.87214069593452,93.96826519819646,16.853357090140598,58.72969588433643
